日期,客户数
Jan-09,"2,644,539"
Feb-09,"2,359,800"
Mar-09,"2,925,918"
Apr-09,"3,024,973"
May-09,"3,177,100"
Jun-09,"3,419,595"
Jul-09,"3,649,702"
Aug-09,"3,650,668"
Sep-09,"3,191,526"
Oct-09,"3,249,428"
Nov-09,"2,971,484"
Dec-09,"3,074,209"
Jan-10,"2,785,466"
Feb-10,"2,515,361"
Mar-10,"3,105,958"
Apr-10,"3,139,059"
May-10,"3,380,355"
Jun-10,"3,612,886"
Jul-10,"3,765,824"
Aug-10,"3,771,842"
Sep-10,"3,356,365"
Oct-10,"3,490,100"
Nov-10,"3,163,659"
Dec-10,"3,167,124"
Jan-11,"2,883,810"
Feb-11,"2,610,667"
Mar-11,"3,129,205"
Apr-11,"3,200,527"
May-11,"3,547,804"
Jun-11,"3,766,323"
Jul-11,"3,935,589"
Aug-11,"3,917,884"
Sep-11,"3,564,970"
Oct-11,"3,602,455"
Nov-11,"3,326,859"
Dec-11,"3,441,693"
Jan-12,"3,211,600"
Feb-12,"2,998,119"
Mar-12,"3,472,440"
Apr-12,"3,563,007"
May-12,"3,820,570"
Jun-12,"4,107,195"
Jul-12,"4,284,443"
Aug-12,"4,356,216"
Sep-12,"3,819,379"
Oct-12,"3,844,987"
Nov-12,"3,478,890"
Dec-12,"3,443,039"
Jan-13,"3,204,637"
Feb-13,"2,966,477"
Mar-13,"3,593,364"
Apr-13,"3,604,104"
May-13,"3,933,016"
Jun-13,"4,146,797"
Jul-13,"4,176,486"
Aug-13,"4,347,059"
Sep-13,"3,781,168"
